DATASET;Restaurant1;Restaurant2;Restaurant3;Restaurant4;Restaurant5;Restaurant6;Restaurant7;Restaurant8;Restaurant9;Restaurant10;Restaurant11;Restaurant12;Restaurant13;Restaurant14;Restaurant15;Restaurant16;Restaurant17;Restaurant18;Restaurant19;Restaurant20;Restaurant21;Restaurant22;Restaurant23;Restaurant24;Restaurant25;Restaurant26;Restaurant27;Restaurant28;Restaurant29;Restaurant30;Restaurant31;Restaurant32;Restaurant33;Restaurant34;Restaurant35;Restaurant36;Restaurant37;Restaurant38;Restaurant39;Restaurant40;Restaurant41;Restaurant42;Restaurant43;Restaurant44;Restaurant45;Restaurant46;Restaurant47;Restaurant48;Restaurant49;Restaurant50;Restaurant51;Restaurant52;Restaurant53;Restaurant54;Restaurant55;Restaurant56;Restaurant57;Restaurant58;Restaurant59;Restaurant60;Restaurant61;Restaurant62;Restaurant63;Restaurant64;Restaurant65;Restaurant66;Restaurant67;Restaurant68;Restaurant69;Restaurant70;Restaurant71;Restaurant72;Restaurant73;Restaurant74;Restaurant75;Restaurant76;Restaurant77;Restaurant78;Restaurant79;Restaurant80;Restaurant81;Restaurant82;Restaurant83;Restaurant84;Restaurant85;Restaurant86;Restaurant87;Restaurant88;Restaurant89;Restaurant90;Restaurant91;Restaurant92;Restaurant93;Restaurant94;Restaurant95;Restaurant96;Restaurant97;Restaurant98;Restaurant99;Restaurant100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User3299;4,51;-7,77;3,2;-9,95;5,53;5;1,65;-0,34;9,32;7,67;4,47;7,33;-8,98;2,18;-5,1;3,35;-2,67;5,34;2,28;9,27;8,16;3,45;6,65;-2,04;-8,2;4,66;8,11;2,18;8,79;-8,35;8,2;1,02;9,22;7,33;9,08;7,96;-9,61;6,21;4,9;7,04;1,5;8,5;6,46;8,4;-2,28;6,6;5,34;8,74;7,72;9,27;-0,24;3,64;7,18;9,32;7,77;9,08;-3,35;-9,51;-3,83;-9,85;8,45;3,16;4,47;0,68;8,54;7,62;-0,34;2,86;5,68;7,04;99;99;99;99;99;99;99;99;99;99;5,44;99;99;99;99;99;99;99;99;99;99;-0,78;99;7,33;99;99;99;8,74;2,18;8,98,,,,,,,,,,,,,,,,,,,,,,,,,
User3300;99;99;99;99;4,42;99;2,14;-0,39;99;99;3,59;-1,5;2,67;99;-0,58;-7,04;-2,04;0,58;2,52;-3,11;2,38;3,69;99;99;99;-1,12;4,76;99;-0,44;99;6,07;-0,24;99;99;-0,29;3,16;99;99;-0,58;2,28;99;3,74;99;99;99;99;99;3,25;-0,24;-4,32;99;4,51;0,29;-1,84;99;3,25;99;99;99;0,05;-0,05;-4,66;99;99;3,45;3,5;99;-4,27;-1,99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;-3,59;99;99;4,66;99;99;99;99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User3301;5,49;-7,91;4,76;5,34;6,41;6,8;-1,41;8,35;-4,61;7,33;1,6;6,7;0,53;5,68;4,56;-4,56;1,26;-5,29;-5,29;4,32;-6,99;-5,73;6,41;-4,9;-7,82;-6,84;6,99;3,54;6,21;-2,67;8,25;6,99;-2,62;4,08;0,73;1,41;1,21;-4,37;3,98;4,81;7,52;8,2;3,2;-7,23;-5,97;-2,09;5,63;7,18;6,89;0,15;6,94;3,16;6,46;7,62;-3,3;0,83;-7,18;-7,14;4,51;1,07;6,6;6,84;-0,87;5,87;7,67;-8,4;-4,81;1,94;7,14;-5,29;99;99;7,48;99;7,67;0,53;7,57;6,55;6,5;6,65;6,75;6,26;6,07;6,07;6,26;-6,8;7,38;7,82;7,72;7,52;7,43;6,65;6,6;-8,3;-6,26;7,38;0,63;7,72;6,31;6,17,,,
User3302;99;99;99;99;9,32;4,9;0,73;8,45;99;7,43;8,54;7,43;-6,07;8,4;0,83;-9,27;2,77;-9,76;0,49;9,13;99;-9,76;99;99;0,1;5,78;5,15;-1,84;5,15;6,36;99;4,13;99;99;8,59;3,88;99;4,22;99;6,17;-8,25;5,29;99;99;2,91;99;99;5,78;7,23;7,77;-8,59;99;8,98;99;99;99;7,28;99;99;99;99;99;8,25;99;-8,69;7,57;99;8,64;-7,23;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;-8,54;99;99;99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User3303;3,16;3,2;-4,22;-2,82;-1,41;1,6;-6,7;3,3;1,36;2,33;-4,08;-5,87;1,36;-1,7;2,43;1,65;-5;0,97;0,39;1,8;4,51;3,11;1,5;-2,14;3,69;2,67;3,83;4,81;3,25;-5,53;0,73;4,17;-3,93;-1,7;5,49;5;-2,96;3,79;-4,61;4,61;3,5;5,05;5,39;1,41;3,11;-3,11;4,95;3,45;2,18;4,17;1,02;1,02;4,76;6,12;0,97;5,24;4,13;1,8;1,65;2,48;5,53;3,79;3,11;0,92;6,65;4,32;4,76;4,81;6,7;-3,64;-4,42;0,24;-3,4;-1,55;-6,26;3,88;-5,34;-5,34;-5,34;-2,09;0,34;1,41;0,44;1,02;-4,42;0,29;1,94;3,06;5,19;1,46;0,83;-1,89;1,02;0,44;5,24;2,82;0,87;1,31;-6,99;-2,77,,
User3304;-2,91;-2,91;2,67;0,1;-9,61;-3,74;-3,54;-2,48;0,53;3,69;-7,04;-3,79;-4,71;-3,59;0,34;2,62;-5,05;-1,55;-1,55;-3,74;-5,19;-2,96;-3,88;2,04;-3,69;2,77;-0,1;-7,43;-3,69;-0,49;-9,9;-0,29;-2,04;-3,69;-1,94;-0,87;-3,16;2,67;-6,12;-2,48;-2,91;-6,6;-7,57;-1,84;-1,07;-0,19;-4,51;-6,8;-6,94;-3,59;-0,49;-5,83;-1,55;-3,69;3,93;-9,51;3,25;-9,95;-2,77;1,89;-9,85;-2,28;-0,97;-1,84;-2,43;-1,41;2,67;-0,29;-3,5;-6,46;-6,75;-3,4;-9,51;-9,51;-9,61;-1,99;-3,5;-2,04;-2,09;-0,1;-3,45;-3,5;-3,64;-3,2;-0,15;-3,25;2,72;0,63;2,82;-3,35;2,86;-2,09;-0,92;-0,15;2,09;-0,19;0,34;-9,42;-5,19;-4,37
User3305;99;99;99;99;2,77;99;-1,31;-7,82;99;99;99;99;-3,3;-0,78;-9,9;-1,07;-0,87;-1,36;3,06;4,56;-0,92;99;2,52;99;99;4,42;2,28;-5,29;-0,92;99;4,47;4,32;99;99;4,76;1,94;99;5,73;-4,42;99;99;-5,87;99;99;99;99;4,27;4,47;-4,32;-1,46;99;99;4,22;6,26;99;3,88;99;-1,8;99;99;4,51;3,3;-0,87;99;3,79;2,67;99;5,78;-2,62;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;6,17;99;99;99;99;99;-1,55;99;99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User3306;5,97;-3,54;-1,31;-4,66;-1,31;-1,41;-6,94;-5,24;-6,46;-0,05;-0,49;-3,5;-1,31;-5,29;-9,76;-9,76;-3,69;-4,27;-2,72;-5,73;-3,54;-3,79;2,04;-3,88;-2,77;-6,26;1,12;-8,69;1,7;-1,31;-0,87;-2,91;-2,86;-8,01;-1,8;2,77;-1,5;-1,41;1,02;-1,65;0,24;-1,12;-3,93;-4,47;-6,41;-2,38;5,1;-0,24;-6,02;2,77;-2,14;-2,67;-2,77;-9,76;-5,83;-0,92;-6,94;-8,16;-5,53;-6,75;-4,37;-0,39;-2,62;-5,34;-4,08;-5,24;-7,82;0,53;6,99;-0,58;-8,69;4,66;-1,94;-8,79;2,28;-1,55;3,74;-1,12;-1,12;-3,5;-0,92;-1,99;-2,67;-6,17;-7,86;-9,95;3,35;2,38;3,4;2,77;-8,79;0,24;0,87;-6,55;-0,87;-0,58;-5,63;-4,42;0,68;-0,1
User3307;4,71;-8,25;1,8;-0,53;-0,15;3,59;-0,1;-3,83;2,23;2,14;2,48;0,15;3,3;-2,72;-3,64;3,83;-0,44;-2,09;2,86;-6,26;1,94;3,4;4,13;4,08;0,78;0,78;-2,96;2,96;2,67;5,73;0,15;3,25;2,38;3,69;3,06;3,16;-4,56;2,14;-0,1;3,59;0,29;-0,19;-8,74;2,09;-8,45;3,16;4,13;1,6;0,92;2,77;-5,19;1,75;-8,64;2,14;0,73;0,53;-6,89;-5,44;2,67;4,08;0,15;3,4;3,59;3,01;-5,68;3,01;2,14;4,61;1,36;2,23;1,55;99;99;99;99;99;99;99;99;99;99;99;99;-3,54;99;99;3,16;99;99;99;99;99;99;99;99;99;99;99;99;99,,,,,,,,,,,,,,,,,,,,,,,,,,,
User3308;3,79;-7,23;-7,91;-6,31;-9,51;3,4;2,96;2,38;0,44;-1,84;-4,56;3,54;-1,46;1,7;9,08;9,03;1,26;6,75;-6,21;-5,15;-1,46;-2,28;-1,41;-6,02;-0,49;-1,55;8,93;8,64;1,46;-1,41;5,78;3,01;-5,24;-2,72;-5,15;8,16;0,24;3,69;-1,17;-1,07;-1,26;1,84;0,24;-5,58;3,11;7,43;6,7;4,42;1,5;8,93;-4,81;-5,1;8,11;1,6;8,01;1,8;3,79;1,5;-0,92;-0,68;-0,53;8,45;6,89;3,4;-1,89;2,04;-4,51;8,88;7,62;3,3;4,66;1,46;-7,23;-5,44;-0,53;6,94;-6,84;0,15;-8,25;-7,62;-4,66;9,03;2,18;2,33;5,44;-0,29;0,34;-0,39;7,91;2,04;5,05;2,43;-0,39;-2,72;3,59;-3,88;1,7;-9,95;1,31;-9,51
User3309;1,7;0;-8,3;-8,4;8,93;-3,54;-9,66;6,94;-9,22;1,65;3,83;-8,11;-0,63;-7,48;4,61;-9,66;-9,22;5;-9,76;-9,27;-7,77;-8,54;-8,4;-9,56;-7,14;-5,92;7,62;1,55;8,2;-8,3;4,76;-6,55;5,63;-9,08;4,9;-5,19;-9,47;-8,83;-8,11;-9,08;-7,77;1,17;-8,64;-9,66;-8,93;5,68;1,8;-8,35;7,04;7,48;-8,25;4,95;-9,66;1,17;-0,34;-3,98;-9,13;-9,03;-0,87;5,68;-6,46;-5,87;5,24;5,39;4,56;-0,53;-9,56;3,98;-0,87;-8,45;99;99;99;99;99;99;99;2,62;2,57;6,5;9,27;6,46;8,74;-7,28;6,21;2,77;-9,22;9,03;8,69;-3,98;9,13;-8,01;8,93;1,94;1,99;6,89;-6,5;-8,88;-6,6;-7,91,,,,,,,,,
User3310;1,94;-4,42;3,93;-4,13;-6,75;1,89;3,88;-2,38;1,8;-0,97;3,4;-0,29;-0,87;-0,29;0,15;-3,4;-2,18;-4,22;-3,54;1,89;1,55;5,15;-5,53;-3,79;-4,85;-2,86;4,66;0,63;-0,44;0,78;4,61;1,55;-0,19;-4,95;4,03;2,67;-2,09;3,93;1,31;1,99;1,26;5,29;-5,83;-4,76;3,25;4,9;-0,39;-0,63;-1,94;5,53;-4,13;-0,87;-0,63;5,39;4,22;1,6;-4,17;-3,25;-2,38;-0,24;5,92;1,02;1,02;-2,77;3,98;3,35;-4,37;5,73;4,56;-2,43;99;99;99;99;99;99;99;99;99;99;-0,53;99;99;99;99;99;99;99;99;3,16;99;99;99;-0,15;99;99;99;99;99;99,,,,,,,,,,,,,,,,,,,,,,,,,,,
User3311;99;99;99;99;-1,26;99;-6,21;-6,94;99;99;99;99;-7,96;99;-7,14;-2,91;-4,08;-0,49;-5,83;-2,86;2,57;99;99;99;99;4,27;3,01;-7,86;-6,75;99;6,31;-0,15;99;99;-4,85;1,55;99;-4,08;5,53;99;99;1,07;1,07;99;99;-2,57;-5,15;-5,34;-6,65;2,62;99;99;6,5;5,73;99;-3,54;99;99;99;99;3,01;-5,58;99;99;7,23;2,57;99;-4,71;6,8;99;99;99;99;99;99;99;99;99;99;99;3,2;99;3,11;-7,43;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User3312;5,39;7,33;99;99;-7,43;7,82;3,25;1,31;99;4,66;5,87;-5,29;2,18;5,63;4,95;-8,4;-5,19;5,1;4,71;-7,57;5,15;3,01;99;99;99;3,54;6,31;8,2;6,17;6,12;5,44;7,18;1,17;2,72;8,59;8,45;99;3,06;7,33;99;-5,97;4,81;0,78;99;7,23;1,5;4,66;4,47;8,79;2,33;-5,05;99;6,21;8,4;8,25;3,45;99;99;99;5,68;8,59;6,94;7,09;4,47;7,86;6,94;99;8,64;6,94;3,54;99;99;99;99;99;99;99;99;99;1,36;99;99;99;99;99;99;99;3,54;99;4,17;99;99;99;99;99;99;99;99;99;99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User3313;99;-7,86;99;99;-0,29;-0,83;-6,99;-6,75;99;-7,91;-1,02;-1,21;-0,44;1,84;-6,5;-6,31;-6,6;-8,01;-0,34;-7,62;-5,78;-8,64;-8,45;99;-2,28;0,78;-0,58;-2,28;4,71;-4,56;3,69;0,92;99;0,78;2,04;-7,86;99;-1,41;-7,04;-6,84;99;6,6;99;99;-1,02;-1,31;-0,44;1,89;0,24;-6,89;99;-1,36;1,46;-5,83;-0,53;-8,01;99;99;99;99;-1,84;-5,1;-8,69;99;3,45;-0,24;99;-0,68;-2,09;0,39;99;99;99;99;99;99;99;99;99;-3,54;99;99;99;99;99;99;99;99;99;99;3,59;99;99;99;-4,13;99;-2,28;99;99;99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User3314;7,91;5,15;5,83;-0,34;3,16;-3,74;5,83;6,07;8,88;8,88;5,68;4,08;2,82;9,08;-0,39;-2,91;-7,23;3,98;-3,83;-7,18;7,96;-1,99;-8,64;3,4;-6,6;9,08;7,62;5,68;8,2;0,92;8,69;8,69;-9,22;9,08;7,18;8,06;-2,91;8,69;-0,24;7,28;9,03;9,08;3,98;-2,96;8,88;8,3;4,85;-0,29;8,69;8,06;4,42;3,79;8,69;7,62;7,91;5,24;3,4;-5,78;-4,9;-5;2,28;8,2;-1,17;9,17;8,69;8,64;4,03;8,64;1,21;7,33;6,89;6,89;1,7;7,18;6,17;-9,71;0,05;-0,05;5,63;2,14;3,83;-0,92;9,08;4,27;-4,9;4,66;3,79;-0,39;8,69;2,86;5,53;5,97;5,24;3,74;3,54;-2,38;2,77;6,31;-1,41;-2,67,
User3315;5,53;-2,09;2,62;2,62;-3,2;2,57;-0,53;4,47;1,31;1,36;5;-3,88;5,63;5,1;5,63;-5,24;1,17;6,12;-3,88;-7,09;-3,11;1,94;5;5,34;1,55;-3,35;5,63;1,84;2,09;1,75;2,18;1,02;-4,71;3,54;-5,58;4,42;3,93;6,6;0,39;2,43;0,87;2,52;1,65;-1,89;5,92;6,12;-1,17;5;5,87;-2,38;-2,09;-0,34;-2,33;-0,97;3,74;1,75;0,68;-2,28;1,17;1,41;5,83;3,79;6,36;-0,44;1,07;-2,86;4,51;4,51;-1,6;-3,64;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User3316;-1,26;5;-0,1;-1,21;2,72;6,46;0,83;3,01;-0,19;5,92;7,14;7,82;-8,64;7,09;-7,48;-7,09;-2,82;0,97;7,18;-2,62;6,65;6,84;-0,15;-0,58;6,65;6,99;7,09;6,6;6,5;-0,15;6,07;5,49;-0,68;5,19;7,43;6,84;-3,88;-0,53;7,48;6,99;5,78;5,58;-0,53;-0,15;0,39;7,04;5,83;7,28;5,87;6,65;0,44;6,17;6,21;6,55;6,12;7,28;-7,82;-7,52;-2,62;-0,1;5,97;6,07;-0,1;0,29;6,5;6,07;-1,02;6,55;6,65;5,29;-5,1;0,29;-5,1;-5;-5,19;-5,49;6,8;-1,65;6,36;6,07;-6,7;-4,81;6,46;-5,83;-6,65;-8,2;-1,75;-1,12;6,89;-7,18;-2,09;-6,75;6,26;-7,67;-6,8;-7,23;-0,58;-8,35;-0,92;-0,53,,
User3317;99;99;99;99;7,91;99;4,9;-9,42;99;99;99;9,17;-8,06;99;5,63;-9,61;-3,01;3,5;5,63;2,38;9,03;99;99;99;99;9,27;6,94;7,57;8,11;99;-0,29;6,5;99;6,65;5,39;7,18;99;5,73;8,64;3,93;7,72;8,06;99;99;99;6,65;99;9,22;9,27;3,3;99;99;7,62;6,55;99;8,11;99;99;99;99;4,03;7,52;99;99;1,75;7,96;99;8,25;8,98;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;6,94;99;9,13;99;99;99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User3318;2,33;-0,19;2,91;4,17;-4,13;-0,58;1,6;-0,34;-7,77;-0,19;1,55;-7,86;-0,87;-3,11;0,34;-0,39;-0,78;-1,7;-9,66;-0,83;-4,03;-6,26;-0,15;-4,95;-1,41;-7,23;0,24;-0,19;2,14;-2,28;-1,17;2,57;-5,87;-9,81;-2,09;1,26;-6,55;-3,59;-0,19;1,36;-9,76;-3,45;-1,41;-4,95;0,63;-0,24;-5,68;0,87;0,34;1,8;-6,55;-7,23;0,53;-1,31;-2,43;-0,73;-4,95;-7,52;-2,18;-5,87;-2,82;-0,44;3,54;-2,52;-0,19;-0,15;-4,56;0,19;-0,1;-0,19;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;-0,34;99;99;99;99;99;-0,97;99;99;2,52;2,96;2,23;-9,27,,,,,,,,,,,,,,,,,,,,,,,,
User3319;-0,24;-5,53;6,84;-4,71;4,61;4,51;3,74;6,55;-6,94;7,28;-4,22;4,13;8,98;4,76;-2,82;2,48;4,85;-0,78;4,42;-5,68;8,83;8,5;5;7,23;-1,8;-0,97;8,11;-2,57;5,15;-1,26;6,7;2,18;-2,28;7,77;7,91;8,59;4,71;5,05;-4,9;3,64;5,29;-2,82;-2,23;3,5;-3,3;4,42;-0,87;4,61;8,45;6,46;4,66;3,3;-1,84;4,85;2,96;4,27;1,89;3,5;-2,33;2,91;5,05;0,73;-3,79;3,74;7,96;6,55;-4,42;-1,55;-1,31;-2,09;3,98;3,93;6,89;0,63;-0,39;5,15;6,65;4,81;2,86;6,02;7,86;3,45;1,17;4,03;7,72;-3,01;5,73;6,55;6,55;-4,42;5,29;4,56;5,44;-0,73;5;5,58;-0,34;6,21;-5,63;5,73,,
User3320;3,01;-3,93;-0,29;-0,1;0,68;3,93;-3,93;-1,46;-3,93;-1,5;-1,46;-0,24;-7,09;-3,98;-3,5;-2,33;-3,4;1,46;4,71;-1,84;4,32;-0,05;-0,68;-3,54;-2,62;4,76;5,29;1,75;-0,87;-3,06;3,98;6,5;-4,95;-4,56;-1,12;4,32;-3,74;5,24;0,63;-3,3;-3,06;0,97;-3,64;4,22;-0,97;5,39;-4,13;5,78;0,53;-3,16;-4,66;-0,78;-6,02;-2,62;2,38;-3,88;-3,74;-4,37;-1,5;-4,85;5,05;6,07;3,79;1,07;-4,56;2,91;-1,7;6,07;5,83;1,02;99;99;3,2;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User3321;1,99;2,77;2,33;-0,53;-3,98;0,87;4,66;1,21;2,28;7,23;2,67;-1,12;3,45;-6,17;-4,9;-0,78;-4,71;-5,44;1,07;2,23;-0,34;0,39;2,23;-4,81;-0,34;-2,28;7,62;0,78;4,51;0,15;5,49;5,53;1,5;-0,58;2,33;2,91;2,14;5,24;0,05;2,33;-3,06;-0,87;-0,19;-4,08;0,44;-0,53;-1,94;-3,69;8,01;7,14;-3,64;-0,34;5,58;-0,87;-0,73;1,65;-3,4;-0,24;-0,78;5,29;2,86;1,12;2,77;3,06;3,45;5,29;5,29;-0,87;1,02;-3,3;99;99;99;99;99;99;99;99;99;99;7,82;99;99;99;99;99;99;99;99;99;99;-1,94;99;99;99;99;99;99;99;99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User3322;99;99;99;99;-1,99;7,18;-0,87;-7,28;99;0,24;7,77;-2,91;-4,32;6,46;-8,83;1,31;2,43;-9,51;-2,43;0,44;4,22;-3,74;4,61;99;-5,78;3,2;3,35;-6,94;6,46;99;8,35;4,66;99;7,33;8,88;8,4;99;3,06;-2,91;-8,64;-6,65;3,93;99;99;4,71;6,31;5,49;-3,88;-1,84;7,14;99;1,94;7,09;6,5;5,29;0,63;99;99;99;99;6,02;3,45;-7,86;99;8,25;-3,93;99;1,36;3,5;-4,27;99;99;99;99;99;99;3,3;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User3323;-9,17;-9,32;-8,25;-9,17;-5,49;4,08;-5,1;0,15;2,86;-3,2;-9,03;0,78;-9,37;1,12;-2,67;1,07;-9,61;1,6;5,1;5,19;-6,6;-9,37;5,1;-2,91;-4,22;-3,11;1,6;4,03;-8,83;-3,69;-4,42;8,4;-7,82;0,49;-7,86;3,2;-9,71;-0,73;-5,29;-3,93;-9,08;-5,53;-1,21;-7,57;2,09;-4,61;4,42;0,49;4,27;0,44;-9,32;-8,98;-7,23;4,42;-1,94;-5,24;2,38;-7,14;3,98;-7,91;-0,63;5,19;4,66;-1,07;-3,35;4,76;-7,91;3,2;3,74;1,94;-9,37;-9,37;-9,37;-9,37;-9,37;3,01;3,16;1,26;0,63;-9,66;-9,66;3,06;-8,79;3,11;-9,56;3,2;3,11;3,11;6,55;4,42;4,66;7,04;4,51;5,83;5,83;5,83;6,07;-9,76;5;-9,61,
User3324;-9,32;-9,51;-9,13;8,2;7,18;6,8;-6,65;-6,36;7,82;-7,91;-8,64;7,67;8,01;6,6;7,18;6,7;-6,26;6,99;6,17;-7,18;8,3;-7,77;-7,67;-7,62;-7,96;7,48;-7,48;-7,04;-6,89;-7,82;5,83;-7,67;-8,45;-8,06;-8,3;-7,72;-6,26;7,48;8,06;-7,77;9,13;6,21;-8,64;-8,45;7,62;-7,82;-7,77;6,46;5,29;5,53;-9,85;7,57;-7,82;-7,67;7,57;6,36;-7,82;-9,66;7,67;7,91;-7,38;7,14;5,39;-8,54;-6,65;-7,86;-7,77;-7,57;-6,26;6,84;-7,33;6,89;-6,94;7,67;7,14;7,43;6,8;-0,53;-0,05;-0,15;7,67;8,64;-8,25;6,31;7,33;7,33;-8,69;6,5;-7,67;7,91;-9,51;7,67;-9,47;7,52;8,88;-7,91;8,2;-8,64;-8,59;7,4
User3325;3,69;-5;-0,1;-1,55;-1,99;-0,44;6,65;-5,24;-2,38;3,2;4,51;2,23;-1,75;-1,55;3,59;-8,16;1,21;3,11;2,77;-1,07;1,55;-4,13;0,87;-7,23;0,87;-5,1;1,12;2,28;0,83;3,69;-5,29;3,98;0,1;-1,07;-1,65;5,44;3,2;1,07;-0,1;3,11;2,62;1,26;-3,64;1,6;0,92;3,25;-0,29;5,15;4,47;8,69;-7,33;-2,28;3,88;-0,68;-4,22;-2,04;-4,9;1,12;2,23;-1,8;3,2;3,45;2,86;0,19;1,07;5,19;-7,96;4,81;2,18;-2,52;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;1,5;2,62;-4,03;-0,29;-3,83;-2,33;2,67;-3,69;3,59,,,,,,,,,,,,,,,,,,,,,,
User3326;9,08;9,08;9,08;9,08;-0,49;4,37;0,63;8,83;-9,85;6,94;8,93;-0,53;2,43;8,98;-9,42;-8,69;-1,5;-9,61;-1,07;1,07;8,83;8,25;5,34;-1,55;3,83;-0,19;1,41;-0,78;8,2;-9,42;0,97;8,45;-9,71;-9,71;-0,19;-9,71;1,31;3,93;4,81;-1,17;9,13;1,36;8,79;8,45;0,15;-1,6;7,09;-1,36;0,78;7,91;-9,47;0,53;8,83;9,03;8,98;-9,9;-9,61;-9,71;-9,66;-0,15;-9,76;8,93;7,86;1,26;8,79;0,53;8,88;-0,83;-0,1;-0,44;99;9,37;-2,62;-9,51;9,13;8,93;8,93;0,92;-9,81;-0,29;-1,12;-1,26;9,08;8,93;3,01;8,93;-0,73;-9,56;-0,68;-1,99;8,88;-0,34;0,15;7,82;-9,47;-9,47;-0,73;0,05;0,49;8,79,
User3327;-2,09;-6,36;-3,45;-0,87;-5,92;-2,38;-4,71;-9,95;2,96;2,23;-5,1;-6,84;-9,85;-6,55;-2,33;-7,18;-9,71;-2,38;-5,1;-9,71;1,26;-4,17;-6,7;0,34;2,04;-0,73;3,11;-5,15;-4,71;-1,41;3,88;-0,49;-5;-6,65;1,8;-2,62;1,21;0,83;-1,55;-7,52;-0,15;-2,62;-4,17;-1,12;-6,31;-0,58;-3,98;-1,07;2,96;3,25;-5,39;-4,22;1,6;-0,58;1,8;1,89;0,78;-6,02;0,44;-0,39;1,21;-4,32;-3,54;-4,71;2,28;1,6;3,79;-4,71;-0,78;-3,2;99;99;0,49;99;99;-3,2;99;99;99;99;99;99;99;99;99;99;99;99;99;99;1,31;3,01;3,54;3,64;3,2;3,69;4,22;-4,85;-0,87;-0,1,,,,,,,,,,,,,,,,,,,
User3328;99;-2,28;99;99;-7,62;-7,04;-2,38;-7,52;99;-0,58;-3,01;-3,98;-7,52;-5,73;-3,11;0,73;-7,52;2,09;-6,07;-6,84;-2,77;-4,17;-1,07;99;-5,49;-5,39;0,44;-0,73;-0,24;99;-3,64;-0,24;99;-4,08;1,89;-2,14;99;-1,12;-7,62;-5,24;99;-4,51;99;99;-6,55;-3,4;-1,89;3,59;-4,51;-4,03;99;-6,55;-0,24;-7,48;-5,49;-4,51;99;99;99;-2,38;-3,88;-0,78;-2,52;99;-7,62;-3,2;0,19;0;-0,24;-6,55;99;99;99;99;99;99;99;99;99;99;99;-5,92;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User3329;1,84;0,73;1,6;2,43;5,1;2,86;6,12;-4,61;1,31;-4,81;2,48;7,09;1,84;2,43;8,45;-9,56;5,34;-5,73;3,45;4,37;5,15;-6,89;-0,97;-3,54;2,62;3,06;8,98;-1,26;8,59;0,39;6,75;0,87;-4,37;7,09;6,36;8,64;-0,68;-5,68;4,85;-1,6;-3,59;1,41;-3,25;-7,77;5,68;4,22;0,1;6,7;6,75;8,06;8,5;1,55;7,28;6,65;3,16;-3,25;-0,19;-9,81;-2,09;-1,7;4,32;8,25;-3,74;3,2;8,35;8,83;-2,33;7,28;8,83;1,94;3,06;1,46;0,44;-2,33;0,49;1,94;-6,07;4,42;1,41;3,06;3,25;2,18;1,84;-0,24;-5,53;-5,44;2,67;3,74;4,32;1,5;1,5;1,12;3,11;1,07;1,07;1,36;-8,88;1,94;0,49;1,2
